State Name,District Name,Block Name,Panchayat Name,Total Registered HH,Total Registered Persons,SC HH,SC Persons,ST HH,ST Persons,Male Persons,Female Persons
PUNJAB,PATIALA,BHUNER HERI,KACHWI,103,203,46,120,0,0,98,105
PUNJAB,PATIALA,BHUNER HERI,KANA HERI,122,185,31,52,0,0,69,116
PUNJAB,PATIALA,BHUNER HERI,KATAKHERI,89,128,33,46,0,0,65,63
PUNJAB,PATIALA,BHUNER HERI,Kathgarh Chhana,45,56,1,1,0,0,27,29
PUNJAB,PATIALA,BHUNER HERI,KHAKATAN KALAN (MORAN),117,159,72,85,0,0,100,59
PUNJAB,PATIALA,BHUNER HERI,KHAKATAN KHURD,18,23,0,0,0,0,19,4
PUNJAB,PATIALA,BHUNER HERI,KHALASPUR (MARUPUR),244,402,16,32,0,0,202,200
PUNJAB,PATIALA,BHUNER HERI,KHANSA,112,174,11,18,0,0,88,86
PUNJAB,PATIALA,BHUNER HERI,KHARABGARH,74,105,4,6,0,0,68,37
PUNJAB,PATIALA,BHUNER HERI,KHATOLI,134,230,39,75,0,0,144,86
PUNJAB,PATIALA,BHUNER HERI,KHERI RAJU SINGH,166,287,15,24,0,0,124,163
PUNJAB,PATIALA,BHUNER HERI,KHERI RANWA,70,107,40,63,0,0,45,62
PUNJAB,PATIALA,BHUNER HERI,KISHANPURA,188,294,40,79,0,0,115,179
PUNJAB,PATIALA,BHUNER HERI,LEHLA JAGIR,19,30,12,23,0,0,19,11
PUNJAB,PATIALA,BHUNER HERI,MACHAL BASTI,96,140,89,130,0,0,28,112
PUNJAB,PATIALA,BHUNER HERI,MAGAR SAHIB,165,257,13,17,0,0,146,111
PUNJAB,PATIALA,BHUNER HERI,MAHIMA,176,295,24,44,0,0,162,133
PUNJAB,PATIALA,BHUNER HERI,MAHIMOODPUR,72,118,1,1,0,0,69,49
PUNJAB,PATIALA,BHUNER HERI,MAHIMOODPUR RURKI,273,494,27,46,0,0,259,235
PUNJAB,PATIALA,BHUNER HERI,MAHITABGARH,129,174,47,75,0,0,121,53
PUNJAB,PATIALA,BHUNER HERI,MAHMOODPUR JATTAN,85,136,17,29,2,2,57,79
PUNJAB,PATIALA,BHUNER HERI,MAHRU,257,442,62,102,0,0,235,207
PUNJAB,PATIALA,BHUNER HERI,MAJRA KHURD/PATHAN MAJRA,12,16,0,0,0,0,12,4
PUNJAB,PATIALA,BHUNER HERI,MAJRAN KALAN MALI MAJRA,106,173,42,78,0,0,92,81
PUNJAB,PATIALA,BHUNER HERI,MAKBULPUR BHAINI,13,22,4,7,0,0,15,7
PUNJAB,PATIALA,BHUNER HERI,MALAKPUR KAMBOAN,74,130,5,8,0,0,63,67
PUNJAB,PATIALA,BHUNER HERI,MALKAN RURKI,20,23,0,0,0,0,16,7
PUNJAB,PATIALA,BHUNER HERI,MANAK DAHIR,55,110,6,10,0,0,66,44
PUNJAB,PATIALA,BHUNER HERI,MANDI,87,172,67,137,0,0,88,84
PUNJAB,PATIALA,BHUNER HERI,MANJAL KALAN,259,330,45,55,0,0,159,171
PUNJAB,PATIALA,BHUNER HERI,MANJAL KHURD,138,260,64,136,0,0,136,124
PUNJAB,PATIALA,BHUNER HERI,MASSINGAN,400,567,49,71,0,0,260,307
PUNJAB,PATIALA,BHUNER HERI,MIHON,275,431,98,160,0,0,217,214
PUNJAB,PATIALA,BHUNER HERI,MOHALGARH,60,108,24,53,0,0,59,49
PUNJAB,PATIALA,BHUNER HERI,MUKHMAILPUR,132,213,79,140,0,0,102,111
PUNJAB,PATIALA,BHUNER HERI,NAIN KALAN,235,310,101,137,1,1,124,186
PUNJAB,PATIALA,BHUNER HERI,NAIN KHURD,37,50,5,6,0,0,30,20
PUNJAB,PATIALA,BHUNER HERI,NARANGWAL,72,147,20,35,0,0,77,70
PUNJAB,PATIALA,BHUNER HERI,NARINGARH WASAWA SINGH/ ADALTIWALA,89,146,10,16,0,0,76,70
PUNJAB,PATIALA,BHUNER HERI,NARINGARH/ KOHLE MAJRA,177,327,28,47,0,0,141,186
PUNJAB,PATIALA,BHUNER HERI,NIJAMPUR,81,144,28,66,0,0,71,73
PUNJAB,PATIALA,BHUNER HERI,NIYAMATPUR,13,27,0,0,0,0,17,10
PUNJAB,PATIALA,BHUNER HERI,NOORPUR FRANSWALA,72,119,32,57,0,0,67,52
PUNJAB,PATIALA,BHUNER HERI,PALAKHAN (GOHARPUR),17,37,2,2,0,0,19,18
PUNJAB,PATIALA,BHUNER HERI,PANJETAN,188,225,75,93,0,0,64,161
PUNJAB,PATIALA,BHUNER HERI,PATTI JHUGIAN,109,151,12,19,0,0,72,79
PUNJAB,PATIALA,BHUNER HERI,PATTI KARTARPUR,39,46,2,2,0,0,22,24
PUNJAB,PATIALA,BHUNER HERI,PIPALKHERI MEHDEVPUR,139,190,1,2,0,0,105,85
PUNJAB,PATIALA,BHUNER HERI,PRAUR,121,184,53,85,0,0,112,72
PUNJAB,PATIALA,BHUNER HERI,PREM PURA,4,4,0,0,0,0,4,0
PUNJAB,PATIALA,BHUNER HERI,PUNIAN KHANA (GUNI MAJRA),185,304,72,111,0,0,121,183
PUNJAB,PATIALA,BHUNER HERI,PUR,147,254,47,93,0,0,124,130
PUNJAB,PATIALA,BHUNER HERI,RAJGARH,60,82,2,2,0,0,40,42
PUNJAB,PATIALA,BHUNER HERI,RASULPUR DUNDIMAJRA,167,220,9,12,0,0,85,135
PUNJAB,PATIALA,BHUNER HERI,RATTA KHERA,150,224,7,10,0,0,122,102
PUNJAB,PATIALA,BHUNER HERI,ROHAR JANGIR,193,436,109,272,0,0,224,212
PUNJAB,PATIALA,BHUNER HERI,ROSHANPUR (PATTI BALONGI MOURA BIR),122,214,67,118,1,1,114,100
PUNJAB,PATIALA,BHUNER HERI,SADHU NAGAR,104,124,3,5,0,0,44,80
PUNJAB,PATIALA,BHUNER HERI,SADIPUR,126,182,0,0,0,0,108,74
PUNJAB,PATIALA,BHUNER HERI,SAHNIPUR,78,120,17,23,0,0,63,57
PUNJAB,PATIALA,BHUNER HERI,Salempur Walian,112,302,6,16,0,0,161,141
PUNJAB,PATIALA,BHUNER HERI,SAMPURAN GARH,11,15,1,3,0,0,12,3
PUNJAB,PATIALA,BHUNER HERI,SARKARHA FARM (BUDHANPUR),83,116,45,58,0,0,60,56
PUNJAB,PATIALA,BHUNER HERI,SEKHUPURA JANGIR,38,72,7,20,0,0,41,31
PUNJAB,PATIALA,BHUNER HERI,SHEKHPUR,294,465,14,20,0,0,218,247
PUNJAB,PATIALA,BHUNER HERI,SHERGARH,1,1,0,0,0,0,1,0
PUNJAB,PATIALA,BHUNER HERI,SIRKAPRHA,159,237,21,31,0,0,118,119
PUNJAB,PATIALA,BHUNER HERI,SRUSTIGARH,27,45,0,0,0,0,21,24
PUNJAB,PATIALA,BHUNER HERI,SUNDER SINGH WALA,57,107,0,0,0,0,62,45
PUNJAB,PATIALA,BHUNER HERI,TAJALPUR,111,255,81,207,0,0,121,134
PUNJAB,PATIALA,BHUNER HERI,TANDA,66,107,1,3,0,0,51,56
PUNJAB,PATIALA,BHUNER HERI,TASALPUR,60,119,37,80,0,0,56,63
PUNJAB,PATIALA,BHUNER HERI,TEJAN,148,234,61,107,0,0,119,115
PUNJAB,PATIALA,BHUNER HERI,THAKARGARH,64,95,37,58,0,0,54,41
PUNJAB,PATIALA,BHUNER HERI,TIWANA,96,171,60,105,0,0,94,77
PUNJAB,PATIALA,BHUNER HERI,TOURAN,34,62,7,11,0,0,39,23
PUNJAB,PATIALA,BHUNER HERI,UDHEPUR/DIWANWALA,437,590,125,169,0,0,253,337
PUNJAB,PATIALA,BHUNER HERI,ULATPUR/JABBALPUR,84,143,19,39,0,0,73,70
PUNJAB,PATIALA,BHUNER HERI,UPPLI,119,170,32,52,0,0,97,73
PUNJAB,PATIALA,GHANAUR,AJROR,416,561,167,228,1,1,262,299
PUNJAB,PATIALA,GHANAUR,Ajror New,71,80,40,46,0,0,32,48
PUNJAB,PATIALA,GHANAUR,ALAMANDI PUR,185,245,79,106,0,0,115,130
PUNJAB,PATIALA,GHANAUR,ALANA,341,476,160,236,0,0,216,260
PUNJAB,PATIALA,GHANAUR,BAGHORA,301,535,206,361,0,0,253,282
PUNJAB,PATIALA,GHANAUR,BAHAWAL PUR,49,63,12,17,0,0,44,19
PUNJAB,PATIALA,GHANAUR,BALO PUR,24,26,13,14,0,0,10,16
PUNJAB,PATIALA,GHANAUR,BHAT MAJRA,162,206,80,112,0,0,110,96
PUNJAB,PATIALA,GHANAUR,CHAMARU,240,319,141,194,0,0,158,161
PUNJAB,PATIALA,GHANAUR,CHAPPAR,316,422,155,227,0,0,184,238
PUNJAB,PATIALA,GHANAUR,DARWA,164,231,47,69,0,0,95,136
PUNJAB,PATIALA,GHANAUR,FARIDPUR JATTAN,190,242,156,202,0,0,98,144
PUNJAB,PATIALA,GHANAUR,GADA PUR,137,168,115,143,0,0,70,98
PUNJAB,PATIALA,GHANAUR,GHANORI KHERA,388,525,23,29,0,0,247,278
PUNJAB,PATIALA,GHANAUR,GHUMANA,155,205,80,110,0,0,85,120
PUNJAB,PATIALA,GHANAUR,GHUNGRAN,60,117,54,106,0,0,58,59
PUNJAB,PATIALA,GHANAUR,HARI GARH,227,314,2,3,0,0,133,181
PUNJAB,PATIALA,GHANAUR,HARI MAJRA,316,383,38,43,0,0,173,210
PUNJAB,PATIALA,GHANAUR,HARIPUR JHUNGIAN,188,367,136,273,0,0,184,183
PUNJAB,PATIALA,GHANAUR,HARPAL PUR,342,546,114,159,0,0,279,267
PUNJAB,PATIALA,GHANAUR,HARPALA,140,229,102,171,0,0,119,110
PUNJAB,PATIALA,GHANAUR,HASANPUR,107,122,47,55,0,0,60,62
PUNJAB,PATIALA,GHANAUR,JABBO MAJRA,210,270,182,233,0,0,112,158
PUNJAB,PATIALA,GHANAUR,JAMEETGARH,206,229,109,119,0,0,49,180
PUNJAB,PATIALA,GHANAUR,JAND MANGHOLI,228,258,40,46,0,0,106,152
PUNJAB,PATIALA,GHANAUR,JHARWA,37,74,16,35,0,0,39,35
PUNJAB,PATIALA,GHANAUR,JOGI MAJRA,53,83,0,0,0,0,54,29
PUNJAB,PATIALA,GHANAUR,KABOOLPUR,168,236,27,38,0,0,130,106
PUNJAB,PATIALA,GHANAUR,KAMAL PUR,24,26,0,0,0,0,21,5
PUNJAB,PATIALA,GHANAUR,KAMI KALAN,516,632,147,176,0,0,287,345
PUNJAB,PATIALA,GHANAUR,KAMI KHURD,201,244,33,41,0,0,114,130
PUNJAB,PATIALA,GHANAUR,KAPOORI,178,230,96,123,0,0,85,145
PUNJAB,PATIALA,GHANAUR,KATLAHAR,51,113,43,94,0,0,57,56
PUNJAB,PATIALA,GHANAUR,KHALASPUR,81,106,71,95,0,0,46,60
PUNJAB,PATIALA,GHANAUR,KHERI MANDALA,92,118,68,93,0,0,55,63
PUNJAB,PATIALA,GHANAUR,KHERI PANDTA,195,307,138,219,0,0,135,172
PUNJAB,PATIALA,GHANAUR,KOLEH MAJRA,166,219,85,119,0,0,88,131
PUNJAB,PATIALA,GHANAUR,KUTHA KHERI,179,236,128,175,0,0,108,128
PUNJAB,PATIALA,GHANAUR,LACHHRU KALLAN,218,280,68,90,0,0,138,142
PUNJAB,PATIALA,GHANAUR,LACHRU KHURAD,84,139,43,76,0,0,60,79
PUNJAB,PATIALA,GHANAUR,LAJJA,11,20,9,18,0,0,10,10
PUNJAB,PATIALA,GHANAUR,LAKHO MAJRA,175,217,106,135,0,0,104,113
PUNJAB,PATIALA,GHANAUR,LOCHHMA,189,269,80,127,0,0,145,124
PUNJAB,PATIALA,GHANAUR,LOH SIMBALI,274,328,169,195,0,0,75,253
PUNJAB,PATIALA,GHANAUR,LOHA KHERI,110,155,64,89,0,0,67,88
PUNJAB,PATIALA,GHANAUR,MAGGAR,55,60,48,51,0,0,48,12
PUNJAB,PATIALA,GHANAUR,MAHRIAN,125,188,84,126,0,0,85,103
PUNJAB,PATIALA,GHANAUR,MAJRI FAKIRA,117,157,43,61,0,0,76,81
PUNJAB,PATIALA,GHANAUR,MANDOLI,457,571,215,286,0,0,248,323
PUNJAB,PATIALA,GHANAUR,MANJOLI,368,506,129,177,0,0,217,289
PUNJAB,PATIALA,GHANAUR,MARDAN PUR,254,327,85,121,0,0,112,215
PUNJAB,PATIALA,GHANAUR,MEHDOODAN,165,387,87,206,0,0,222,165
PUNJAB,PATIALA,GHANAUR,MIRJA PUR,111,183,19,29,0,0,85,98
PUNJAB,PATIALA,GHANAUR,NANHERI,128,176,55,84,0,0,75,101
PUNJAB,PATIALA,GHANAUR,NARAIN GARH,138,198,121,175,0,0,78,120
PUNJAB,PATIALA,GHANAUR,NARDU,286,360,224,285,0,0,150,210
PUNJAB,PATIALA,GHANAUR,NASEERPUR,59,71,25,31,0,0,39,32
