VILLAGE_NAME,PANCHAYAT_NAME,BLOCK_NAME,DISTRICT_NAME,STATE_NAME,TOTAL_POPULATION,SC_POPULATION,ST_POPULATION,GEN_POPULATION,NO._OF_HABITATIONS,IS_PWS_AVAILABLE,JJM_STATUS,HAR_GHAR_JAL_CERTIFICATE,TOTAL_HOUSEHOLDS,TOTAL_TAP_CONNECTIONS
Burj Tharor,Burj Throar,Bhagta Bhaika,Bathinda,Punjab,1496.0,713.0,0.0,783.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,282.0,282.0
Dyalpura Bhaika,Dialpura Bhaika,Bhagta Bhaika,Bathinda,Punjab,5282.0,1887.0,0.0,3395.0,4.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1035.0,1035.0
Dyalpura Mirza,Dialpura Mirza,Bhagta Bhaika,Bathinda,Punjab,5058.0,2378.0,0.0,2680.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,950.0,950.0
Gaunspura,Gaunspura,Bhagta Bhaika,Bathinda,Punjab,724.0,328.0,0.0,396.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,121.0,121.0
Gumti Kalan,Gumti Kalan,Bhagta Bhaika,Bathinda,Punjab,6756.0,2927.0,0.0,3829.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1110.0,1110.0
Gurusar,Gurusar,Bhagta Bhaika,Bathinda,Punjab,2304.0,431.0,0.0,1873.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,486.0,486.0
Hakam Singh Wala,Hakam Singh Wala,Bhagta Bhaika,Bathinda,Punjab,1718.0,616.0,0.0,1102.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,314.0,314.0
Hamirgarh,Hamirgarh,Bhagta Bhaika,Bathinda,Punjab,3494.0,1792.0,0.0,1702.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,704.0,704.0
Jalal,Jalal,Bhagta Bhaika,Bathinda,Punjab,6769.0,2814.0,0.0,3955.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,1298.0,1298.0
Kanger,Kangar,Bhagta Bhaika,Bathinda,Punjab,2085.0,1113.0,0.0,972.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,402.0,402.0
Kesar Singh Wala,Kesar Singh Wala,Bhagta Bhaika,Bathinda,Punjab,1300.0,688.0,0.0,612.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,261.0,261.0
Kaur Singh Wala,Koer Singh Wala,Bhagta Bhaika,Bathinda,Punjab,1547.0,416.0,0.0,1131.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,263.0,263.0
Neor,Neor,Bhagta Bhaika,Bathinda,Punjab,1980.0,1106.0,0.0,874.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,373.0,373.0
RAJGARH,RAJGARH,Bhagta Bhaika,Bathinda,Punjab,2269.0,977.0,0.0,1292.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,459.0,459.0
Ramu Wala,Ramu Wala,Bhagta Bhaika,Bathinda,Punjab,1547.0,594.0,0.0,953.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,278.0,278.0
Salabatpura,Salabatpura,Bhagta Bhaika,Bathinda,Punjab,2065.0,645.0,0.0,1420.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,382.0,382.0
