village_id,village_name,gp_id,gp_name,block_name,district_name,state_name,sanit_community_compost_pits,sanit_vehicles_for_collection_&_transportation_of_waste,sanit_waste_collection_and_segregation_sheds_in_the_village,sanit_segregation_bins_at_community_places_in_the_village,sanit_community_bio-gas_plants_-_under_other_schemes,sanit_compost_pits,sanit_biogas_plants,sanit_feeding_to_cattle,sanit_household_bins,sanit_community_soak/leach/magic_pits,sanit_drainage_facility_available_in_village,sanit_community_grey_water_management_systems,sanit_leach_pits,sanit_magic_pits,sanit_soak_pits,sanit_kitchen_garden,sanit_duckweed_pond,sanit_odf_declaration_status,pai_overall_pai_score,pai_overall_grade,pai_overall_category,pai_t1_poverty_free_score,pai_t1_poverty_free_grade,pai_t1_poverty_free_category,pai_t2_healthy_score,pai_t2_healthy_grade,pai_t2_healthy_category,pai_t3_child_friendly_score,pai_t3_child_friendly_grade,pai_t3_child_friendly_category,pai_t4_water_sufficient_score,pai_t4_water_sufficient_grade,pai_t4_water_sufficient_category,pai_t5_clean_green_score,pai_t5_clean_green_grade,pai_t5_clean_green_category,pai_t6_self_sufficient_score,pai_t6_self_sufficient_grade,pai_t6_self_sufficient_category,pai_t7_socially_just_score,pai_t7_socially_just_grade,pai_t7_socially_just_category,pai_t8_good_governance_score,pai_t8_good_governance_grade,pai_t8_good_governance_category,pai_t9_women_friendly_score,pai_t9_women_friendly_grade,pai_t9_women_friendly_category,water_total_population,water_sc_population,water_st_population,water_gen_population,water_no_of_habitations,water_is_pws_available,water_jjm_status,water_har_ghar_jal_certificate,water_total_households,water_total_tap_connections,mgnrega_total_registered_hh,mgnrega_total_registered_persons,mgnrega_sc_hh,mgnrega_sc_persons,mgnrega_st_hh,mgnrega_st_persons,mgnrega_male_persons,mgnrega_female_persons
35781,Jhumba,10698,JHUMBA,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,65.89,B,Performer,80.84,A,Front Runner,80.71,A,Front Runner,69.0,B,Performer,68.63,B,Performer,49.15,C,Aspirant,56.02,C,Aspirant,75.35,A,Front Runner,72.08,B,Performer,52.63,Unknown,Unknown,4292.0,1745.0,0.0,2547.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,943.0,943.0,609.0,1188.0,422.0,851.0,0.0,0.0,620.0,568.0
35792,Jodhpur Romana,10699,JODHPUR ROMANA,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,64.82,B,Performer,76.8,A,Front Runner,78.43,A,Front Runner,64.3,B,Performer,68.86,B,Performer,53.6,C,Aspirant,55.58,C,Aspirant,78.92,A,Front Runner,66.34,B,Performer,52.63,Unknown,Unknown,2288.0,921.0,0.0,1367.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,457.0,457.0,322.0,546.0,236.0,412.0,0.0,0.0,257.0,289.0
35778,KARAMGARH SATTRAN,10700,KARAMGARH SATRAN,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,57.06,C,Aspirant,68.7,B,Performer,66.0,B,Performer,69.29,B,Performer,73.17,B,Performer,49.58,C,Aspirant,33.36,D,Beginner,79.89,A,Front Runner,47.25,C,Aspirant,52.63,Unknown,Unknown,1771.0,950.0,0.0,821.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,303.0,303.0,313.0,604.0,225.0,475.0,0.0,0.0,326.0,278.0
35802,KATAR SINGHWALA,10701,KATAR SINGH WALA,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,63.44,B,Performer,78.9,A,Front Runner,75.87,A,Front Runner,69.6,B,Performer,66.76,B,Performer,54.89,C,Aspirant,51.71,C,Aspirant,77.98,A,Front Runner,57.83,C,Aspirant,52.63,Unknown,Unknown,2284.0,750.0,0.0,1534.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,393.0,393.0,283.0,569.0,232.0,487.0,0.0,0.0,270.0,299.0
35786,Mian,10710,MIAN,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,61.2,B,Performer,73.16,B,Performer,77.47,A,Front Runner,62.76,B,Performer,67.93,B,Performer,48.39,C,Aspirant,41.17,C,Aspirant,79.29,A,Front Runner,58.33,C,Aspirant,52.63,Unknown,Unknown,911.0,470.0,0.0,441.0,1.0,Yes,Har ghar jal certified,Certificate by public health engineering department,150.0,150.0,175.0,372.0,133.0,291.0,0.0,0.0,190.0,182.0
35783,Multania,10711,MULTANIA,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,65.77,B,Performer,68.18,B,Performer,74.63,B,Performer,83.57,A,Front Runner,75.45,A,Front Runner,52.36,C,Aspirant,54.47,C,Aspirant,76.34,A,Front Runner,66.28,B,Performer,52.63,Unknown,Unknown,1415.0,726.0,0.0,689.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,260.0,260.0,191.0,388.0,180.0,370.0,0.0,0.0,183.0,205.0
35785,Naruana,10713,NARUANA,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,66.15,B,Performer,75.01,A,Front Runner,79.53,A,Front Runner,72.06,B,Performer,59.97,C,Aspirant,57.84,C,Aspirant,61.98,B,Performer,78.28,A,Front Runner,66.49,B,Performer,52.63,Unknown,Unknown,4134.0,1807.0,0.0,2327.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,737.0,737.0,479.0,943.0,366.0,732.0,0.0,0.0,409.0,534.0
35794,Phus Mandi,10715,PHUS MANDI,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,60.03,B,Performer,65.24,B,Performer,80.12,A,Front Runner,61.13,B,Performer,68.29,B,Performer,52.83,C,Aspirant,48.94,C,Aspirant,76.1,A,Front Runner,52.05,C,Aspirant,52.63,Unknown,Unknown,1953.0,1180.0,0.0,773.0,2.0,Yes,Har ghar jal certified,Certificate by public health engineering department,376.0,376.0,314.0,578.0,269.0,500.0,0.0,0.0,232.0,346.0
35779,Sardargarh,10716,SARDARGARH,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,61.33,B,Performer,63.64,B,Performer,78.12,A,Front Runner,82.78,A,Front Runner,75.6,A,Front Runner,52.64,C,Aspirant,43.5,C,Aspirant,72.71,B,Performer,46.38,C,Aspirant,52.63,Unknown,Unknown,2482.0,1054.0,0.0,1428.0,3.0,Yes,Har ghar jal certified,Certificate by public health engineering department,470.0,470.0,310.0,548.0,261.0,463.0,0.0,0.0,256.0,292.0
35782,Teona,10719,TEONA,BATHINDA ( 226 ),BATHINDA ( 28 ),Punjab ( 3 ),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,66.82,B,Performer,79.57,A,Front Runner,80.59,A,Front Runner,75.28,A,Front Runner,57.84,C,Aspirant,49.87,C,Aspirant,65.6,B,Performer,73.8,B,Performer,70.71,B,Performer,52.63,Unknown,Unknown,3994.0,1506.0,0.0,2488.0,4.0,Yes,Har ghar jal certified,Certificate by public health engineering department,686.0,686.0,410.0,849.0,346.0,713.0,0.0,0.0,389.0,460.0
