Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
CHAURWALA ALIAS NARAINPURA (32753),CHAURWALA ALIAS NARAINPURA ( 11512 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHALERI KALAN (32762),CHHALLERI KALAN ( 11464 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HASSANPUR/CHALERI KHURD (32761),CHHALLERI KHURD ALIAS HASSANPUR ( 11465 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DALO MAJRA (32724),DALO MAJRA ( 11470 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHATONDA (32783),DHATONDA ( 11471 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DITUPUR FAKIRAN (32764),DITTU PUR FAQIRAN ( 236082 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
FATEHPUR (32638),FATEHPUR ( 11472 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GUNIAN MAJRA (32781),GUNIA MAJRA ( 11473 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0
HALLOTALI (32766),HALO TALI ( 11474 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0
HARBANSPURA (32635),HARBANSPURA ( 11475 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
HUSSAINPURA (32746),HUSSAINPURA ( 11476 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jago Chanarthal (32765),JAGO CHANARTHAL ( 11477 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,3,1,1,0,0,0,1,1,0,0,1,1,0,0,11,0,0
JAKHWALI (32776),JAKHWALI ( 11478 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
JALLAH (32739),Jallah ( 11479 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SUNDERPURA (32740),Jallah ( 11479 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
JALBEHRA (32725),JALWERA ( 11480 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
JALBEHRI DHUMI (32715),JALWERI DHUMI ( 11481 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JALBEHRI GEHLAN (32714),JALWERI GEHLAN ( 11482 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
JHINJHRAN (32767),Jhinjran ( 11483 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,1,1,1,0,0,12,0,0
JIWANPURA (32720),JIWAN PURA ( 11484 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,2,1,1,0,0,0,3,0,0,0,1,1,0,0,0,0,0
KHARE (32743),KHARE ( 11487 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kharaura (32750),KHARORA ( 11485 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,4,0,0,1,1,0,0,0,0,0,0
Kharauri (32749),KHARORI ( 11486 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,5,0,0,0,1,1,0,0,0,0,0
KHERI (32639),KHERI ( 11488 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KHOJE MAJRA (32745),KHOJE MAJRA ( 11489 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KOTLA JATTAN (32772),KOTLA JATAN ( 11490 ),SIRHIND ( 240 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0
