Village Name,Panchayat Name,Block Name,District Name,State Name,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
BASSI (32590),Jarkhelan Kheri ( 236084 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
JAWANDA (32599),JAWANDA ( 11240 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JODHPUR (32569),JODH PUR ( 11241 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAJJAL MAJRA (32562),KAJAL MAJRA ( 11242 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KALAUNDI (32609),KALAUNDI ( 11243 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KALAUR (32576),KALAUR ( 11244 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
HUSSAINPURA (32593),KANDI PUR ( 11246 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KANDIPUR (32594),KANDI PUR ( 11246 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KARIMPURA (32595),KARIMPURA ( 11247 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KHALASPUR (32623),KHALASPUR ( 11248 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHANPUR (32651),KHAN PUR ( 11249 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHERI BHAI KI (32597),KHERI BHAI KI ( 11250 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAMGARH (32583),KHERI BHAI KI ( 11250 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHERIBIRSINGH (32559),KHERI BIR SINGH ( 11251 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
KHUDADADPUR (32616),KHUDADPUR ( 11252 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KISHANPURA (32608),KISHAN PURA ( 11253 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOTLA (32582),KOTLA ( 11254 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LADPURI (32628),LAD PURI ( 11255 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
LOHARIKALAN (32617),LOHARI KALAN ( 11256 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
LULLON (32580),LULON ( 11257 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MAHADIAN (32800),MAHADIAN ( 236085 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAINMAJRI (32558),MAIN MAJRI ( 11258 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MAJRIAZIM (32652),MAJRI AZIM ( 11259 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANDLAN (32592),MANDLAN ( 236086 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARWA (32575),MARWA ( 11260 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEHDUDAN (32539),MEHDUDAN ( 236087 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEHMUDPUR (32587),MEHMOOD PUR ( 11261 ),BASSI PATHANA ( 237 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
