Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
MANWALA URF KISHANGARH (35843),KISANGARH URF MANWALA ( 10922 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Kot Bakhtu (35842),KOT BAKHTU ( 10923 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
LALEANA (35862),LALEANA ( 10924 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0
LEHRI (35909),LEHRI ( 10925 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
LELEWALA (35898),LELE WALA ( 10926 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
MAHI NANGAL (35863),MAHI NANGAL ( 10927 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MALKANA (35857),MALKANA ( 10928 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
MENUANA (35910),MANUANA ( 10929 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MIRZIANA (35911),MIRJEANA ( 10930 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0
Nangla (35919),NANGLA ( 10931 ),TALWANDI SABO ( 233 ),BATHINDA ( 28 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0
