Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
Loha Kheri (36931),LOHA KHERI ( 18585 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MAGAR (36898),MAGAR ( 18587 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MAHRIAN (36846),MAHRIAN ( 18588 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Majri Faqiran (36883),MAJRI FAQUIRIAN ( 18589 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MANDAULI (36906),MANDOLI ( 18591 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MAJOLI (36858),MANJOLI ( 18592 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Mardanpur (36942),MARDANPUR ( 18593 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MEHDUDAN (36856),MEHDOODAN ( 18594 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Mirjapur (36922),MIRZAPUR ( 18597 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,0,1,1,0,0,0,0,62,0,0,0,0,0,0,0,0,0
Nanheri (36872),NANHERI ( 18600 ),GHANAUR ( 325 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
