Village Name,Panchayat Name,Block Name,District Name,State Name,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
GHUTIND (32843),GHUTIND ( 11149 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GURDHANPUR (32801),GURDHANPUR ( 11150 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
HAIBATPUR (32874),Haibatpur ( 11151 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARIPUR (32810),HARI PUR ( 11152 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
HIMMATGARH (32842),HIMMATGARH ( 11153 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMMTGARH CHANNA (32818),HIMMTGARH CHANNA ( 11154 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
JALALPUR (32880),JALAL PUR ( 11155 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
JALLOWAL (32900),JALLO WAL ( 11156 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
JASRAN (2) (PART) (32889),JASSRAN ( 11157 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
JHAMBALA (32804),JHAMBALA ( 11158 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAHANPURA (32865),KAHANPUR ( 11159 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KALAL MAJRA (32844),KALAL MAJRA ( 11160 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KANJARI (32835),KANJARI ( 11161 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KAPURGARH (32830),KAPURGARH ( 11162 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAULGARH (32849),KAUL GARH ( 11163 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KHANYAN (32861),KHANYAN ( 11164 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KHUMANA (32867),KHUMNA ( 11165 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOTLA DADHERI (32897),KOTLA DADHERI ( 11166 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KOTLI (32828),KOTLI ( 11167 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Kumbh (32891),KUMBH ( 11168 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KUMBHRA (32892),KUMBHRA ( 11169 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
LADPUR T (32884),LAADPUR T ( 11171 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
LADPUR S (32836),LADPUR S ( 11170 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
LAKHA SINGH WALA (32851),LAKHA SINGH WALA ( 11172 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
LALLON KHURD (32837),LALON KHURD ( 11173 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOHAR MAJRA KALAN (32899),LOHAR MAJRA KALAN ( 11174 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHHRAI KALAN (32854),MACHHRAI KALAN ( 11175 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MACHHRAI KHURD (32853),MACHHRAI KHURD ( 11176 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MAJRA MANNA SINGH WALA (32862),MAJRA MANNA SINGH WALA ( 11177 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MAJRI KISHNE WALI (32868),MAJRI KISHNE WALI ( 11179 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAJRIMISHRI (32890),MAJRI MISRIWALI ( 11180 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MAJRI RAIAN (32863),MAJRI RAIAN ( 11178 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
