Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
Jhandi (36606),JHANDI ( 19245 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kakrala (36598),KAKRALA ( 18844 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KALAR BHAINI (36605),Kalar Bhaini (167) ( 19248 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Kalyan (36524),KALYAN ( 18846 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karhali (36656),KARHALI ( 19251 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RAWAS BRAHMANAN (36556),KARTARPUR ( 277560 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khera Jattan (36555),Khera Jattan ( 19256 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Kheri Barna (36639),KHERI BARNA ( 19254 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
KHERI GUJRAN (36559),KHERI GAURIAN ( 18852 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
KHERI GUJRAN (OG) (36833),KHERI GUJRAN ( 19255 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KHERI MALAN (36592),KHERI MALLAN ( 18853 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Kheri Manian (36516),KHERI MANIAN ( 18854 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KHERI MUSALMANI (36577),KHERI MUSLMANI ( 18855 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,2,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Khusropur (36603),KHUSROPUR ( 19258 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KOOKA (36591),KUKA ( 18856 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
LALUCHHI (36590),LALUCHHI ( 18858 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
