Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
BINJJAL (36745),BINJAL JATTAN ( 277555 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BISHANGARH (36788),BISHAN GARH ( 18303 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
BISHAN NAGAR (36731),BISHAN NAGAR KOTLA ( 18304 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BIBIPUR (36567),BIVIPUR ( 18305 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bure Majra (36695),BURE MAJRA ( 18306 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Chaprahar (36750),CHAPRAHAR ( 18307 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Chirwa (36777),CHIRWA ( 18308 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Chirwi (36778),CHIRWI ( 18309 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
CHOHAT (36761),CHUHAT ( 18310 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Dadherian (36676),DADHARIAN ( 18311 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Daulatpur (36532),DAULATPUR FAQIRAN ( 18312 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
DEVINAGAR HIRA SINGHWALA (36730),DEVI NAGAR / HIRA SINGH WALA ( 18313 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
DEVINAGAR URF SAWAESINGHWALA (36688),DEVI NAGAR / SWAI SINGH WALA ( 18314 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Dhagrauli (36771),DHAGRAULI ( 18315 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Dhandian (36699),DHANDIAN ( 18316 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
DHARAMGARH URF KATHGARH (36675),DHARAMGARH ALIAS KATHGARH ( 18317 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
Dudhan Gujjran (36742),DUDHAN GUJRAN ( 18318 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Dudhan Sadhan (36738),DUDHAN SADHAN ( 18319 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Durd (36706),DURD ( 18320 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Faridpur (36483),FARIDPUR ( 18321 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
GAGRAULA (36789),GAGRAULA ( 18324 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GAGRAULI (36790),GAGRAULI ( 18322 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Ganeshpur (36726),GANESHPUR ( 18323 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GHURAM (36713),GHARAM ( 18325 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Guthmara (36693),GUTHMERA ( 18326 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Hajipur (36737),HAJIPUR ( 18327 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
HARANA (36796),HARANA ( 18328 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Hassanpur Kamboan (36764),HASSANPUR KAMBOAN ( 18330 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Hiragarh (36611),HIRAGARH ( 18329 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
HUSSAINPUR URF MEHARBAN ALIWALA (36668),HUSSAINPURA ( 18331 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Ibrahimpur (36749),IBRAHIMPUR ( 18332 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ISHER HERI (36759),ISHER HERI ( 18333 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
SURMASTPUR URF JALALABAD (36732),JALALABAD ( 18334 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
JALBEHRA (36767),JALBEHRA ( 18335 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
JULAH HERI (36709),JALLAH KHERI ( 18336 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jodhpur (36722),JODHPUR ( 18337 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Kachhwa (36752),KACHWA ( 18339 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kachhwi (36760),KACHWI ( 18340 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KAHNA HERI (36791),KAHNA HERI ( 18341 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
KATAK JERI (36683),KATAK HERI ( 18343 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
MAJAL KALAN (36618),KATHGARH CHANNA ( 260915 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Khaktan Kalan (36685),KHAKTAN KALAN ( 18344 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Moran (136) (36682),KHAKTAN KALAN ( 18344 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Khaktan Khurd (36684),KHAKTAN KHURD ( 18345 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Khalaspur (36822),KHALASPUR ( 18346 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Khansa (36757),KHANSA ( 18347 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Kharabgarh (36725),KHARABGARH ( 18348 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Khatauli (36743),KHATAULI ( 18349 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Kheri Raju Singh (36711),KHERI RAJU SINGH ( 18350 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
KHERI RANWAN (36786),KHERI RANWAN ( 18351 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Kishanpur (36712),KISHANPUR ( 18352 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
LEHLA JAGIR (36741),LEHAL JAGIR ( 18353 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
DHARAMGARH URF KATHGARH (36675),MACHHAL BASTI /KATHGARH ( 244204 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MAGAR (36758),MAGAR SAHIB ( 18354 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MAHRU (36825),MAHRU ( 18355 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Majal Kalan (36618),MAJAL KALAN ( 18356 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Majal Khurd (36623),MAJAL KHURD ( 18357 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Majra Kalan (36733),MAJRA KALAN ( 18358 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
MAJRAKHURD (36717),MAJRA KHURD / PATHAN MAJRA ( 18359 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Maqboolpur Bhaini (36716),MAKBULPUR BHENI ( 18360 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MALIKPUR KAMBOAN (36785),MALIKPUR KAMBON ( 18361 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BHAGWANPUR JATTAN (36718),MALKAN RURKI ( 18362 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MANAK DEHAR (36715),MANAK DEHAR ( 18363 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Mandi (36798),MANDI ( 18364 ),BHUNER HERI ( 323 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
