Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
DANGHERIAN (32672),DANGERIAN ( 11382 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAULATPUR (32535),DAULAT PUR ( 11383 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Dhirpur (32703),DHIRPUR ( 11384 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHOLAN (32695),DHOLAN ( 11385 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GADHERA (32555),GADHERA ( 11387 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAROHLIAN (32530),GAROLIAN ( 11388 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GHEL (32551),GHALE ( 11389 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KOTLA BAJWARA (32661),GURU NANAK NAGAR ( 277609 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HANSALI (32698),HANSALI ( 11390 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,,,,,,,,,,,,,,,,,
HARIPUR (32686),HARI PUR ( 11391 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,,,,,,,,,,,,,,,,,
HARNA (32690),HARNA ( 11392 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDUPUR (32670),HINDU PUR ( 11393 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISHER HAIL (32668),ISHERHALE ( 11394 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
JAMIATGARH (32676),JAMIT GARH ( 11395 ),KHERA ( 239 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
