Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
Gobindpura (39223),Gobindpura (C) ( 19027 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gurditpura (37031),GURDITPURA ( 19029 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KEHARGARH (37025),GURDITPURA ( 19029 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
JANDAULI (36963),GURU ANGAD DEV COLONY ( 244268 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hadaitpura (37036),Hadaitpur ( 19030 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYAON (37000),HARION ( 19031 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,1,1,0,0,0,0,47,0,0,1,0,0,0,0,0,0
Hulka (39225),HULKA ( 19032 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jalalpur (37048),JALALPUR ( 19034 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
JANDAULI (36963),JANDOLI ( 19035 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,2,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Jhansli (37034),Jansli ( 19040 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,3,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Jansui (37041),JANSUI ( 19037 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
JHAJON (39248),JHAJON ( 19038 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,,,,,,,,,,,,,,,,,
Jansla (37045),JHANSLA ( 19039 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,2,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0
KALAULI (39219),KALAULI ( 19042 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,,,,,,,,,,,,,,,,,
Kalouli (39219),KALAULI JATTAN ( 19043 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Kalo Majra (37046),KALO MAJRA ( 19044 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karala (39236),KARALA ( 19045 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KHALAWAR (39246),KHALAUR ( 19048 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,,,,,,,,,,,,,,,,,
Khanpur Banger (39226),KHANPUR BANGAR ( 19049 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KHANPUR KHADDAR (39221),KHANPUR KHADDAR ( 244266 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,,,,,,,,,,,,,,,,,
Kharola (37027),KHARAULA ( 19052 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Khaspur (39238),KHASPUR ( 19053 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Khera Gajju (37032),Khera Gajju ( 19054 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Kharajpur (36964),Khirajpur ( 19057 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Khizargarh (39235),KHIZARGARH ( 19058 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Kotla (37022),KOTLA ( 19059 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KURALI (39220),KURALI ( 244265 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Lehlan (37029),LEHLAN ( 19061 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Mamouli (39240),MAMOLI ( 19062 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,1,1,0,0,0,0,50,0,0,0,0,0,0,0,0,0
Manakpur (37033),MANAKPUR ( 19063 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Manouli Surat (39241),MANOLI SURAT ( 19066 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,2,2,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0
MATHIARAN (39239),MATHIARAN ( 19067 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Mirjapur (37040),MIRJAPUR ( 19070 ),RAJPURA ( 329 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
