Village Name,Panchayat Name,Block Name,District Name,State Name,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
JATANA NIWAN (32961),JATANA NIWAN ( 11315 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),2,1,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0
JATANA UNCHA (32962),JATANA UCHA ( 11316 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
KALE MAJRA (32970),KALA MAJRA ( 11317 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),2,2,2,0,0,0,0,0,0,0,5,2,0,0,0,0,0
KALEWAL (32914),KALE WAL ( 11318 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,1,0,0,0,3,2,0,0,0,0,0
KALEWAL (32952),KALE WAL II ( 11319 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0
KHANT (32927),KHANT ( 11320 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),2,2,2,0,0,0,4,0,0,0,2,1,0,0,0,0,0
KHERI NAUDH SINGH (32916),KHERI NAUD SINGH ( 11321 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KOTLA AJNER (32906),KOTLA AJNER ( 11322 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KOTLABADLA (32937),KOTLA BADLA ( 11323 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOTLA MASUD (32918),KOTLA MAKSUDPUR ( 11324 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
