Village Name,Panchayat Name,Block Name,District Name,State Name,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
Dhumewal (38823),DHUMEWAL ( 19448 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Dugri (38878),DUGRI ( 19457 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0
Farid (38786),FARID ( 19458 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bir Guru (38836),FATEHPUR ( 19459 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Fatehpur Bet (38825),FATEHPUR ( 19459 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0
Ferozepur (38789),FEROZEPUR ( 19460 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Gadhram Kalan (38856),GADHRAM BADA ( 19461 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),2,2,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Chhota Gadhram (38853),GADHRAM CHHOTA ( 19462 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Gaggon (38857),GAGGON ( 19463 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Garhi (38782),GARHI ( 19464 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0
Gobindpur Alias Dhespur (38868),GOBINDPUR ALIAS DHESPURA ( 19465 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hafizabad (38824),HAFIZABAD ( 19466 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Jagatpur (38784),JAGATPUR ( 19467 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
JASRAN (38793),JASARAN ( 19468 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Jatana (38842),JATANA ( 19469 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
