Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
MEHMUDPUR JATTAN (36674),NAWAN MEHMADPUR JATTAN ( 244255 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,1,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0
Noor Kherian (36808),NOOR KHERIAN ( 19272 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Hamayunpur (212) (36629),PAHARIPUR ( 19273 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Paharipur (36630),PAHARIPUR ( 19273 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Pakki Kui (210) (36627),PAHARIPUR ( 19273 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Panoudian (36487),PANAUDIAN ( 18871 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Panjola (36662),PANJOLA ( 19274 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PARTAPGARH (36663),PARTAP GARH ( 19275 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
RURKI KASBA (CT) (36830),PEER COLONY ( 244262 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
FALAULI (27) (PART) (36531),PHALAULI ( 18874 ),SANOUR ( 331 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
