Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
BARDAR (38762),BARDAR ( 19958 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
BARI (38720),BARI ( 19959 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
KUDASPUR (38719),BARI ( 19959 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
GHANAULI (CT) (38764),BEGAMPUR (ABADI GHANAULI) ( 236673 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BEHRAMPUR ZIMIDARA (38735),BEHRAMPUR DHAHA ( 19960 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
BELI (38596),BELI ( 19961 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHADDAL (38715),BHADAL ( 19962 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BHAGO MAJRA (38749),BHAGO MAJRA ( 19964 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Bhagwantpur (38742),BHAGWANTPURA ( 19963 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bhaini (38849),BHAINI ( 19965 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0
RAUTAN (38681),BHAINI ( 19965 ),RUPNAGAR ( 338 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
